(2433;2889) 
(1063;989) 
(1121;613) 
(1011;619) 
(517;704) 
(3774;953) 
(3757;714) 
(3587;978) 
(2673;2640) 
(2244;2350) 
(2503;2848) 
(2940;2491) 
(4228;797) 
(1914;2148) 
(2685;2479) 
(918;515) 
(3640;772) 
(2471;2962) 
(4203;584) 
(4165;976) 
(640;541) 
(4140;894) 
(1058;737) 
(893;481) 
(3807;978) 
(2514;1883) 
(2116;2194) 
(4003;843) 
(703;866) 
(507;781) 
(3810;844) 
(4054;1046) 
(3773;1001) 
(2729;2583) 
(1112;820) 
(1049;885) 
(4220;721) 
(483;1010) 
(4201;930) 
(2756;2464) 
(2593;2495) 
(2811;2083) 
(756;648) 
(1125;706) 
(3779;1038) 
(4317;568) 
(2493;1829) 
(2864;2634) 
(2752;2727) 
(2182;2298) 
(2674;2136) 
(2024;2026) 
(4334;523) 
(818;1114) 
(2204;2026) 
(2456;2578) 
(2068;2541) 
(3698;876) 
(1112;860) 
(2569;2406) 
(4140;961) 
(4305;1092) 
(3839;1250) 
(567;1084) 
(2864;2307) 
(2288;2507) 
(2295;1881) 
(4126;798) 
(2067;2630) 
(2703;2885) 
(1933;2253) 
(467;929) 
(2060;2105) 
(738;609) 
(3524;820) 
(961;718) 
(4046;756) 
(1170;859) 
(948;463) 
(1937;2735) 
(2594;2201) 
(4192;619) 
(4142;611) 
(2308;2549) 
(925;938) 
(4040;696) 
(2602;2585) 
(2561;2863) 
(3739;1082) 
(599;945) 
(2241;2322) 
(4125;964) 
(4069;646) 
(486;783) 
(3856;878) 
(2317;2547) 
(731;759) 
(4117;756) 
(2700;2473) 
(2492;2755) 
(690;1144) 
(2084;2241) 
(4037;697) 
(1064;785) 
(3926;962) 
(2352;2221) 
(1178;822) 
(608;673) 
(4065;1163) 
(4405;883) 
(3997;753) 
(2199;2276) 
(738;805) 
(2755;2643) 
(2216;2839) 
(3921;1231) 
(4079;648) 
(2767;2102) 
(2230;2172) 
(4274;631) 
(2515;2959) 
(2479;2161) 
(605;596) 
(497;988) 
(3886;555) 
(3574;974) 
(2525;2526) 
(2707;2548) 
(3753;717) 
(2313;1968) 
(2630;1852) 
(2324;2653) 
(3682;1160) 
(3746;913) 
(2804;2616) 
(4373;661) 
(2221;2552) 
(2795;2743) 
(2565;1877) 
(2572;2651) 
(3544;930) 
(2849;2598) 
(3870;765) 
(4112;836) 
(2077;2510) 
(2179;2447) 
(814;901) 
(850;868) 
(4241;1151) 
(450;713) 
(1965;2377) 
(890;1149) 
(3604;692) 
(2249;1892) 
(3751;1204) 
(4401;595) 
(3628;624) 
(2053;2612) 
(751;990) 
(3782;706) 
(2483;1941) 
(3743;719) 
(2076;2742) 
(4227;979) 
(4096;1010) 
(3905;1045) 
(3926;933) 
(659;472) 
(2961;2312) 
(2453;2002) 
(2158;2516) 
(910;475) 
(4139;583) 
(2423;1992) 
(2569;1903) 
(3877;718) 
(4171;788) 
(2454;2226) 
(467;947) 
(626;721) 
(3768;522) 
(2418;2348) 
(3600;888) 
(4141;911) 
(2400;2373) 
(4354;632) 
(3854;770) 
(2074;2833) 
(4351;1077) 
(769;575) 
(3589;894) 
(2732;2297) 
